分区ID,面积(km²),子流域数,累积降雨(mm),累积径流(mm),径流系数,等级
1,140.00,0,664.10,494.42,0.7445,正常
2,393.61,0,344.18,436.24,1.2675,异常(>1)
3,176.95,0,691.00,499.40,0.7227,正常
4,377.18,0,745.82,513.63,0.6887,正常
5,163.41,0,858.72,512.35,0.5966,正常
6,308.46,0,909.96,565.32,0.6213,正常
