id,type,x,y,zone_id,depth,accumulation,controlled_area_km2
1,main_stream,-6708588.993771297,6600388.557287714,1,2,42065.0,533.607
2,main_stream,-6705322.751260273,6619084.979937026,2,1,85748.0,1087.739
3,main_stream,-6692483.039320384,6653662.098933043,3,0,122946.0,1559.607
1t,tributary,-6708476.3647191925,6600275.92823561,,,11036.0,139.995
2t,tributary,-6707237.445146046,6602528.509277696,,,13949.0,176.947
3t,tributary,-6698452.379081911,6627419.529792744,,,12882.0,163.412
