Subbasin,Peak_Flow (m3/s),Total_Volume (m3s_h),Peak_Time (h)
W170,4.167715651622529,156.09807007567875,76
W160,2.885913300386862,108.08020066071818,76
W180,7.071972425799677,265.0070554907772,76
W190,7.827879571202127,293.0651397175136,75
