Subzone_ID,Zone_ID,Area_km2,Downstream_ID
226,21,10.00870436517134,216
229,21,10.00870436517134,214
212,21,10.00870436517134,234
213,21,10.00870436517134,234
214,21,10.00870436517134,238
215,21,10.00870436517134,234
216,21,10.00870436517134,234
217,21,10.00870436517134,234
218,21,10.00870436517134,234
220,21,10.00870436517134,234
222,21,10.00870436517134,234
225,21,10.00870436517134,234
234,21,10.00870436517134,233
238,21,10.00870436517134,236
223,21,10.00870436517134,211
233,21,10.00870436517134,232
236,21,10.00870436517134,232
211,21,10.00870436517134,232
219,21,10.00870436517134,237
224,21,10.00870436517134,237
228,21,3.196696451233432,227
232,21,10.00870436517134,221
237,21,10.00870436517134,235
227,21,10.00870436517134,221
206,20,10.00870436517134,202
221,21,10.00870436517134,210
235,21,10.00870436517134,210
230,21,10.00870436517134,210
231,21,10.00870436517134,210
202,20,10.00870436517134,220
210,20,10.00870436517134,224
212,20,10.00870436517134,220
214,20,10.00870436517134,220
217,20,10.00870436517134,224
317,31,10.00870436517134,125
210,21,10.00870436517134,220
117,11,10.00870436517134,125
220,20,10.00870436517134,219
224,20,10.00870436517134,223
205,20,10.00870436517134,223
209,20,10.00870436517134,201
215,20,10.00870436517134,201
313,30,10.00870436517134,307
325,31,10.00870436517134,124
318,31,10.00870436517134,126
125,11,10.00870436517134,124
118,11,10.00870436517134,126
219,20,10.00870436517134,218
223,20,10.00870436517134,222
201,20,10.00870436517134,218
213,20,9.9579631516597,218
307,30,10.00870436517134,305
310,30,10.00870436517134,305
329,30,10.00870436517134,305
324,31,10.00870436517134,122
326,31,10.00870436517134,122
327,31,10.00870436517134,122
313,31,10.00870436517134,122
314,31,10.00870436517134,122
124,11,10.00870436517134,122
126,11,10.00870436517134,122
127,11,10.00870436517134,122
113,11,10.00870436517134,122
114,11,10.00870436517134,122
218,20,10.00870436517134,211
222,20,10.00870436517134,221
204,20,10.00870436517134,221
208,20,10.00870436517134,221
216,20,10.00870436517134,207
305,30,10.00870436517134,304
319,30,10.00870436517134,308
321,30,10.00870436517134,304
323,30,10.00870436517134,304
322,31,10.00870436517134,121
311,31,10.00870436517134,123
315,31,10.00870436517134,112
122,11,10.00870436517134,121
111,11,10.00870436517134,123
115,11,10.00870436517134,112
211,20,10.00870436517134,200
221,20,10.00870436517134,200
203,20,10.00870436517134,200
207,20,10.00870436517134,200
304,30,10.00870436517134,303
308,30,10.00870436517134,306
321,31,10.00870436517134,120
323,31,10.00870436517134,120
312,31,10.00870436517134,120
121,11,10.00870436517134,120
123,11,10.00870436517134,120
112,11,10.00870436517134,120
200,20,10.00870436517134,334
303,30,10.00870436517134,302
306,30,10.00870436517134,334
320,31,10.00870436517134,110
316,31,10.00870436517134,110
319,31,6.799322610559998,110
120,11,10.00870436517134,110
116,11,10.00870436517134,110
119,11,6.799322610559998,110
334,30,10.00870436517134,333
302,30,10.00870436517134,301
318,30,10.00870436517134,301
326,30,10.00870436517134,309
327,30,10.00870436517134,312
330,30,10.00870436517134,333
331,30,10.00870436517134,315
310,31,10.00870436517134,333
110,11,10.00870436517134,333
333,30,10.00870436517134,332
301,30,10.00870436517134,337
309,30,10.00870436517134,332
312,30,10.00870436517134,332
315,30,10.00870436517134,332
137,10,10.00870436517134,118
332,30,10.00870436517134,322
337,30,10.00870436517134,336
325,30,10.00870436517134,322
328,30,6.8627491274495505,336
118,10,10.00870436517134,113
128,10,10.00870436517134,119
322,30,10.00870436517134,311
336,30,10.00870436517134,335
320,30,10.00870436517134,314
113,10,10.00870436517134,109
119,10,10.00870436517134,114
124,10,10.00870436517134,109
141,10,11.467514253631041,109
311,30,10.00870436517134,300
335,30,10.00870436517134,300
314,30,10.00870436517134,300
316,30,10.00870436517134,300
317,30,10.00870436517134,300
324,30,10.00870436517134,300
109,10,10.00870436517134,108
114,10,10.00870436517134,110
129,10,10.00870436517134,110
130,10,10.00870436517134,108
300,30,10.00870436517134,103
103,10,10.00870436517134,102
108,10,10.00870436517134,107
110,10,10.00870436517134,102
127,10,10.00870436517134,116
102,10,10.00870436517134,101
107,10,10.00870436517134,106
116,10,10.00870436517134,106
121,10,10.00870436517134,106
132,10,10.00870436517134,101
136,10,10.00870436517134,101
101,10,10.00870436517134,146
106,10,10.00870436517134,105
126,10,10.00870436517134,117
146,10,10.00870436517134,145
105,10,10.00870436517134,104
117,10,10.00870436517134,145
120,10,10.00870436517134,104
145,10,10.00870436517134,144
104,10,10.00870436517134,144
139,10,10.00870436517134,144
144,10,10.00870436517134,143
140,10,10.00870436517134,143
143,10,10.00870436517134,142
142,10,10.00870436517134,133
131,10,10.00870436517134,112
134,10,10.00870436517134,112
133,10,10.00870436517134,122
112,10,10.00870436517134,122
138,10,10.00870436517134,122
122,10,10.00870436517134,111
123,10,10.00870436517134,115
111,10,10.00870436517134,100
115,10,10.00870436517134,100
125,10,10.00870436517134,100
135,10,10.00870436517134,100
100,10,10.00870436517134,
