Subbasin_ID,Peak_Discharge_m3s,Total_Volume_m3,Mean_Discharge_m3s
M3_T2_sub3,36.78075245346706,7311913.533506692,16.92572577200623
M3_T2_sub2,73.56150490693412,14623827.067013385,33.85145154401246
M3_T2_sub4,15.663286215925137,3113818.691075093,7.207913636747901
M3_T3_sub11,41.78508309881706,6606992.985759,15.293965244812501
M3_T2_sub1,124.33477519680609,25180165.941248897,58.28742116029837
M3_T3_sub3,44.202702095709704,5281452.549264339,12.225584604778561
M3_T3_sub4,42.8956099028294,5559398.981871641,12.868979124702872
M3_T3_sub5,44.202702095709704,5281452.549264339,12.225584604778561
M3_T3_sub6,60.50686967850018,12698415.217277657,29.394479669624207
M3_T3_sub7,44.202702095709704,5281452.549264339,12.225584604778561
M3_T3_sub8,36.43006353764735,5979041.609750253,13.840374096644105
M3_T3_sub9,44.202702095709704,5281452.549264339,12.225584604778561
M3_T3_sub10,44.202702095709704,5281452.549264339,12.225584604778561
M3_T3_sub12,39.458727937139685,5435156.398626505,12.58138055237617
M3_T1_sub1,125.82651674117992,25476720.10230367,58.97388912570294
M3_T3_sub2,394.81847060938924,61839178.896379024,143.14624744532182
M3_T3_sub13,26.865092914485583,5813669.020863611,13.457567177925027
M1_T1_sub16,63.09757250574926,6606874.254686167,15.293690404366128
M3_T3_sub1,557.0511460439327,100283130.31368917,232.13687572613236
M2_sub40,39.49529630340523,5420538.745023321,12.547543391257689
M2_sub51,40.62618897735761,5453083.990803005,12.62287960834029
M3_sub1,570.9593778167608,103174533.3839732,238.82993838882686
M1_T1_sub7,63.09757250574926,6606874.254686167,15.293690404366128
M1_T1_sub17,60.98179150789683,6501096.457308291,15.048834391917342
M1_T2_sub8,63.09757250574926,6606874.254686167,15.293690404366128
M2_T3_sub13,126.19514501149852,13213748.509372335,30.587380808732256
M2_sub13,643.7563291728154,115715443.8729281,267.85982377992616
M2_sub24,82.2754805724575,11083669.902809361,25.65664329354019
M2_sub52,35.546078605550875,6105884.571431796,14.133992063499528
M1_T1_sub6,48.04265200193687,6691903.392343836,15.490517111907028
M1_T1_sub9,40.64618383673299,6317809.039721729,14.624557962318818
M1_T1_sub10,63.09757250574926,6606874.254686167,15.293690404366128
M1_T2_sub6,49.52210315309247,5694254.228765219,13.181144048067639
M1_T2_sub9,63.09757250574926,6606874.254686167,15.293690404366128
M1_T2_sub10,40.647396397836204,6317926.671424367,14.624830257926778
M1_T2_sub16,63.09757250574926,6606874.254686167,15.293690404366128
M2_T3_sub6,309.3770431834686,32778920.798380937,75.87713147773366
M2_T3_sub12,123.86787797442753,13127930.995860018,30.388729157083375
M2_T3_sub14,40.92294264621117,6344737.603076422,14.686892599713937
M2_T3_sub15,63.09757250574926,6606874.254686167,15.293690404366128
M2_sub12,674.101928835936,123242694.9094413,285.2840159940771
M2_sub19,120.75393774132517,23294077.30220466,53.92147523658487
M2_sub48,40.63127547090453,5453499.657698274,12.623841800227487
M2_sub54,36.204849240672125,6942966.592330578,16.071681926691152
M1_T1_sub8,62.014558759340105,6583330.950347387,15.239192014693026
M1_T1_sub12,58.5215371790014,6424666.365767886,14.871912883721958
M1_T1_sub13,52.45611841828935,6330087.685216695,14.652980752816424
M1_T1_sub14,63.09757250574926,6606874.254686167,15.293690404366128
M1_T2_sub4,43.064870046122365,5832603.489774743,13.501396967071166
M1_T2_sub7,54.039133875990444,6478513.750248123,14.99655960705584
M1_T2_sub12,58.901168360038085,6356944.510112304,14.715149328963667
M1_T2_sub17,58.501004040733875,6352191.286903454,14.704146497461698
M2_T3_sub4,458.0318458202248,70417220.56315035,163.00282537766282
M2_T3_sub7,252.39029002299705,26427497.01874467,61.17476161746451
M2_T3_sub8,240.4518312647329,26075243.900590982,60.35936088099764
M2_T3_sub10,58.52153717900219,6424666.365767915,14.871912883722025
M2_T3_sub11,57.786223232572056,6551034.414602667,15.164431515283951
M2_sub11,741.9152293413538,136085020.3806391,315.0116212514794
M2_sub16,170.7578883536066,36710636.00160683,84.97832407779359
M2_sub25,35.37305673237508,6104522.827963507,14.130839879545155
M2_sub34,37.07788890490154,5177897.900469387,11.985874769605061
M2_sub47,32.81785312027141,7177561.9630254125,16.614726766262528
M2_sub53,36.33298366818347,6093184.210737316,14.104593080410455
M1_T1_sub3,46.89483431752954,5958519.650443293,13.792869561211326
M1_T1_sub4,43.5622555888008,5877753.319208246,13.605910461130199
M1_T1_sub5,63.07729779825828,6605275.075480014,15.289988600648181
M1_T1_sub11,63.09757250574926,6606874.254686167,15.293690404366128
M1_T2_sub3,47.299001506118614,6709221.644617546,15.530605658836913
M1_T2_sub5,63.09757250574926,6606874.254686167,15.293690404366128
M1_T2_sub11,63.09757250574926,6606874.254686167,15.293690404366128
M1_T2_sub15,60.94409353494249,6497805.347440818,15.041216082038932
M2_T3_sub3,1216.7313962379317,159748382.4602096,369.7879223615963
M2_T3_sub5,314.0091547011177,32981838.883546468,76.34684926746868
M2_T3_sub9,126.19514501149852,13213748.509372335,30.587380808732256
M2_sub10,920.3164341504526,178895851.71948987,414.11076786918954
M2_sub21,105.40398724839848,26476706.897302043,61.288673373384356
M2_sub22,74.15577780980308,10355795.800938774,23.971749539210123
M2_sub37,37.07788890490154,5177897.900469387,11.985874769605061
M2_sub38,37.07788890490154,5177897.900469387,11.985874769605061
M2_sub44,37.07788890490154,5177897.900469387,11.985874769605061
M2_sub45,31.472898850593634,7484425.918281919,17.32505999602296
M1_T1_sub2,52.48241390310769,6063412.270289107,14.035676551595156
M1_T2_sub2,52.73364894569049,6414890.983223167,14.849284683386962
M2_T3_sub2,2059.158611180127,263517819.1907869,609.9949518305252
M2_T3_sub16,35.987208653469175,3768179.2327107415,8.722637112756347
M1_sub22,55.839629113710565,5890767.08924361,13.636034928804655
M2_sub9,1100.6842740486336,204785341.2218368,474.04014171721485
M2_sub17,126.24660421107932,33108194.613958955,76.63933938416424
M2_sub23,63.11588957207169,15109528.728029262,34.97576094451218
M2_sub28,74.15577780980308,10355795.800938774,23.971749539210123
M2_sub39,49.79439971179821,6371228.185412872,14.748213392159425
M2_sub41,37.07788890490154,5177897.900469387,11.985874769605061
M2_sub46,41.1776674536797,5492011.078628061,12.712988607935328
M1_T1_sub15,63.09757250574926,6606874.254686167,15.293690404366128
M1_T2_sub13,63.09757250574926,6606874.254686167,15.293690404366128
M1_T2_sub14,62.530728701873315,6592662.6795244375,15.260793239639902
M2_T2_sub2,26.237366543982414,2789994.367880611,6.4583202960199335
M2_T3_sub1,2229.3930385859007,285680957.9320629,661.298513731627
M1_sub20,111.67925822742113,11781534.17848722,27.27206985760931
M1_sub29,55.839629113710565,5890767.08924361,13.636034928804655
M1_sub35,55.839629113710565,5890767.08924361,13.636034928804655
M2_sub8,1267.002410525626,236060147.06998017,546.4355256249542
M2_sub15,168.85140617001267,39462292.07132386,91.34789831324967
M2_sub20,111.23366671470463,15533693.701408159,35.957624308815184
M2_sub27,99.58879942359641,12742456.370825743,29.49642678431885
M2_sub32,51.05500269093823,6514980.067972163,15.08097237956519
M2_sub35,52.68221176842901,6992192.66013298,16.185631157715232
M2_sub36,49.79439971179821,6371228.185412872,14.748213392159425
M1_T1_sub18,35.933912981864964,4168185.931966174,9.648578546217996
M1_T2_sub1,57.80655290636332,6373510.67611555,14.753496935452661
M2_T2_sub1,2497.2595171455973,314967192.34177136,729.0907230133596
M1_sub17,279.19814556855283,29453835.44621805,68.18017464402327
M1_sub28,55.839629113710565,5890767.08924361,13.636034928804655
M2_sub7,1307.282165619214,241592931.62900183,559.242897289356
M2_sub14,376.91003630890594,71938571.0787717,166.5244700897493
M2_sub18,148.31155561960617,20711591.601877548,47.943499078420245
M2_sub26,89.09668561595397,12883508.002480714,29.822935190927577
M1_T1_sub1,54.60707542765324,6144319.085433906,14.22296084591182
M2_T1_sub1,2621.6555208457044,329437900.2171835,762.5877319842209
M1_sub15,390.877403795974,41235369.62470528,95.45224450163258
