datetime,observed_m3s,simulated_m3s,residual_m3s
2024-01-03 00:00:00,64.38064684801721,2576.5441177508756,-2512.1634709028585
2024-01-03 01:00:00,73.2250982332857,2550.7786765733663,-2477.5535783400805
2024-01-03 02:00:00,74.92216149918892,2525.2708898076326,-2450.3487283084437
2024-01-03 03:00:00,80.33007842921765,2500.0181809095566,-2419.688102480339
2024-01-03 04:00:00,88.35850573941745,2475.017999100461,-2386.6594933610436
2024-01-03 05:00:00,98.88039542657869,2450.2678191094565,-2351.387423682878
2024-01-03 06:00:00,105.58964104600788,2425.765140918362,-2320.175499872354
2024-01-03 07:00:00,117.16552017094916,2401.5074895091784,-2284.3419693382293
2024-01-03 08:00:00,130.04953927447124,2377.4924146140866,-2247.4428753396155
2024-01-03 09:00:00,145.59968113888024,2353.7174904679455,-2208.117809329065
2024-01-03 10:00:00,155.85579219211905,2330.1803155632665,-2174.3245233711473
2024-01-03 11:00:00,165.2161380669957,2306.878512407634,-2141.662374340638
2024-01-03 12:00:00,183.3428404963798,2283.809727283557,-2100.4668867871774
2024-01-03 13:00:00,193.57805760825823,2260.9716300107216,-2067.393572402463
2024-01-03 14:00:00,200.5430002612692,2238.3619137106143,-2037.818913449345
2024-01-03 15:00:00,208.84468433930215,2215.9782945735083,-2007.1336102342061
2024-01-03 16:00:00,216.8096633693268,2193.818511627773,-1977.0088482584465
2024-01-03 17:00:00,189.04190108489152,2171.8803265114952,-1982.8384254266036
2024-01-03 18:00:00,180.55700547545007,2150.1615232463805,-1969.6045177709304
2024-01-03 19:00:00,172.32581386901558,2128.6599080139167,-1956.3340941449012
2024-01-03 20:00:00,163.81073646102791,2107.3733089337775,-1943.5625724727495
2024-01-03 21:00:00,168.05353706050656,2086.29957584444,-1918.2460387839333
2024-01-03 22:00:00,172.55677185095297,2065.436580085995,-1892.879808235042
2024-01-03 23:00:00,189.5962049418862,2044.782214285135,-1855.1860093432488
2024-01-04 00:00:00,180.4431940199191,2024.3343921422838,-1843.8911981223648
2024-01-04 01:00:00,168.55068678184236,2004.0910482208612,-1835.5403614390189
2024-01-04 02:00:00,154.07033070520137,1984.0501377386524,-1829.9798070334512
2024-01-04 03:00:00,143.07235721221042,1964.209636361266,-1821.1372791490555
2024-01-04 04:00:00,143.36547122457662,1944.5675399976533,-1801.2020687730767
2024-01-04 05:00:00,132.50113653180972,1925.1218645976767,-1792.6207280658668
2024-01-04 06:00:00,120.22768214432254,1905.8706459516998,-1785.6429638073773
2024-01-04 07:00:00,115.52453969401655,1886.811939492183,-1771.2873997981665
2024-01-04 08:00:00,103.33250569267804,1867.943820097261,-1764.611314404583
2024-01-04 09:00:00,103.93050884542632,1849.2643818962886,-1745.3338730508622
2024-01-04 10:00:00,99.19681085465344,1830.7717380773256,-1731.5749272226722
2024-01-04 11:00:00,100.66864629372677,1812.4640206965526,-1711.7953744028257
2024-01-04 12:00:00,99.38987113905772,1794.339380489587,-1694.9495093505293
2024-01-04 13:00:00,95.4531639897438,1776.395986684691,-1680.9428226949472
2024-01-04 14:00:00,91.749758425717,1758.632026817844,-1666.8822683921271
2024-01-04 15:00:00,100.94203245907552,1741.0457065496655,-1640.10367409059
2024-01-04 16:00:00,100.24796788057968,1723.6352494841692,-1623.3872816035896
2024-01-04 17:00:00,91.49284052836312,1706.3988969893276,-1614.9060564609645
2024-01-04 18:00:00,84.30457536811116,1689.3349080194344,-1605.030332651323
2024-01-04 19:00:00,82.04747346037992,1672.4415589392402,-1590.3940854788602
2024-01-04 20:00:00,87.78196695008761,1655.7171433498477,-1567.9351763997602
2024-01-04 21:00:00,80.08507660938615,1639.1599719163491,-1559.074895306963
2024-01-04 22:00:00,74.1798142873643,1622.7683721971857,-1548.5885579098215
2024-01-04 23:00:00,76.99971725278067,1606.5406884752138,-1529.5409712224332
2024-01-05 00:00:00,85.9175209128056,1590.475281590462,-1504.5577606776562
2024-01-05 01:00:00,99.109313520851,1574.570528774557,-1475.461215253706
2024-01-05 02:00:00,105.77802002729528,1558.8248234868115,-1453.0468034595162
2024-01-05 03:00:00,109.74933068585273,1543.2365752519431,-1433.4872445660903
2024-01-05 04:00:00,101.45274540564093,1527.8042094994237,-1426.3514640937829
2024-01-05 05:00:00,93.5146375418381,1512.5261674044293,-1419.0115298625913
2024-01-05 06:00:00,93.37443978121972,1497.400905730385,-1404.0264659491652
2024-01-05 07:00:00,86.65018784402312,1482.4268966730813,-1395.7767088290582
2024-01-05 08:00:00,76.50700939808641,1467.6026277063504,-1391.095618308264
2024-01-05 09:00:00,79.09298401312007,1452.9266014292868,-1373.8336174161668
2024-01-05 10:00:00,77.51327145099525,1438.397335414994,-1360.8840639639986
2024-01-05 11:00:00,72.46158539451488,1424.0133620608442,-1351.5517766663293
2024-01-05 12:00:00,63.95543907866542,1409.7732284402357,-1345.8177893615702
2024-01-05 13:00:00,59.19737172721118,1395.6754961558333,-1336.478124428622
2024-01-05 14:00:00,56.19695700812208,1381.718741194275,-1325.521784186153
2024-01-05 15:00:00,51.83561102830804,1367.9015537823323,-1316.0659427540243
2024-01-05 16:00:00,45.45109778070015,1354.2225382445088,-1308.7714404638086
2024-01-05 17:00:00,40.88982593986592,1340.6803128620638,-1299.790486922198
2024-01-05 18:00:00,36.67736383734111,1327.273509733443,-1290.596145896102
2024-01-05 19:00:00,33.24991756298937,1314.0007746361086,-1280.7508570731193
2024-01-05 20:00:00,30.425145828551365,1300.8607668897475,-1270.4356210611961
2024-01-05 21:00:00,28.0662640350968,1287.8521592208501,-1259.7858951857534
2024-01-05 22:00:00,26.07038086986534,1274.9736376286417,-1248.9032567587763
2024-01-05 23:00:00,24.359845499998016,1262.223901252355,-1237.864055752357
