x,y,distance_from_center_m,elevation_m,station_m,segment_id
-6711679.729669238,6596509.418025043,-150.0,7160.1953125,0.0,M2_sub44
-6711674.42636838,6596514.721325901,-142.5,7160.1953125,0.0,M2_sub44
-6711669.123067521,6596520.024626761,-135.0,7160.1953125,0.0,M2_sub44
-6711663.819766662,6596525.327927619,-127.5,7160.1953125,0.0,M2_sub44
-6711658.516465803,6596530.631228479,-120.0,7160.1953125,0.0,M2_sub44
-6711653.213164944,6596535.934529337,-112.5,7160.1953125,0.0,M2_sub44
-6711647.909864085,6596541.2378301965,-105.0,7160.1953125,0.0,M2_sub44
-6711642.606563226,6596546.541131055,-97.49999999999999,7160.1953125,0.0,M2_sub44
-6711637.303262367,6596551.844431914,-90.0,7160.1953125,0.0,M2_sub44
-6711631.999961508,6596557.147732773,-82.5,7160.1953125,0.0,M2_sub44
-6711626.696660649,6596562.451033631,-75.0,7131.1201171875,0.0,M2_sub44
-6711621.393359791,6596567.754334491,-67.5,7131.1201171875,0.0,M2_sub44
-6711616.090058932,6596573.057635349,-59.999999999999986,7131.1201171875,0.0,M2_sub44
-6711610.786758073,6596578.360936209,-52.5,7131.1201171875,0.0,M2_sub44
-6711605.483457214,6596583.664237067,-44.99999999999999,7131.1201171875,0.0,M2_sub44
-6711600.180156355,6596588.9675379265,-37.5,7131.1201171875,0.0,M2_sub44
-6711594.876855496,6596594.270838785,-29.999999999999993,7131.1201171875,0.0,M2_sub44
-6711589.573554637,6596599.574139644,-22.499999999999986,7131.1201171875,0.0,M2_sub44
-6711584.270253778,6596604.877440503,-14.999999999999996,7131.1201171875,0.0,M2_sub44
-6711578.966952919,6596610.180741362,-7.49999999999999,7131.1201171875,0.0,M2_sub44
-6711573.663652061,6596615.484042221,0.0,7131.1201171875,0.0,M2_sub44
-6711568.360351202,6596620.787343079,7.500000000000007,7131.1201171875,0.0,M2_sub44
-6711563.057050343,6596626.090643939,15.000000000000014,7131.1201171875,0.0,M2_sub44
-6711557.753749484,6596631.393944797,22.50000000000002,7131.1201171875,0.0,M2_sub44
-6711552.450448625,6596636.6972456565,30.00000000000003,7131.1201171875,0.0,M2_sub44
-6711547.147147766,6596642.000546515,37.5,7131.1201171875,0.0,M2_sub44
-6711541.843846907,6596647.303847374,45.00000000000001,7131.1201171875,0.0,M2_sub44
-6711536.540546048,6596652.607148233,52.500000000000014,7131.1201171875,0.0,M2_sub44
-6711531.237245189,6596657.910449092,60.00000000000002,7131.1201171875,0.0,M2_sub44
-6711525.933944331,6596663.213749951,67.50000000000003,7131.1201171875,0.0,M2_sub44
-6711520.630643472,6596668.51705081,75.0,7131.1201171875,0.0,M2_sub44
-6711515.327342613,6596673.820351669,82.5,7126.77392578125,0.0,M2_sub44
-6711510.024041754,6596679.123652527,90.00000000000001,7126.77392578125,0.0,M2_sub44
-6711504.720740895,6596684.4269533865,97.50000000000001,7126.77392578125,0.0,M2_sub44
-6711499.417440036,6596689.730254245,105.00000000000003,7126.77392578125,0.0,M2_sub44
-6711494.114139177,6596695.033555104,112.5,7126.77392578125,0.0,M2_sub44
-6711488.810838318,6596700.336855963,120.0,7126.77392578125,0.0,M2_sub44
-6711483.507537459,6596705.640156822,127.50000000000001,7126.77392578125,0.0,M2_sub44
-6711478.204236601,6596710.943457681,135.00000000000003,7126.77392578125,0.0,M2_sub44
-6711472.900935741,6596716.24675854,142.50000000000003,7126.77392578125,0.0,M2_sub44
-6711467.597634883,6596721.550059399,150.0,7126.77392578125,0.0,M2_sub44
-6710953.368813265,6596685.759690348,-150.0,6999.66455078125,680.5768927971068,M2_sub44
-6710958.672114124,6596691.0629912065,-142.5,7010.69580078125,680.5768927971068,M2_sub44
-6710963.975414983,6596696.366292066,-135.0,7010.69580078125,680.5768927971068,M2_sub44
-6710969.2787158415,6596701.669592924,-127.5,7010.69580078125,680.5768927971068,M2_sub44
-6710974.582016701,6596706.972893784,-120.0,7010.69580078125,680.5768927971068,M2_sub44
-6710979.885317559,6596712.276194642,-112.5,7010.69580078125,680.5768927971068,M2_sub44
-6710985.188618419,6596717.579495502,-105.0,7010.69580078125,680.5768927971068,M2_sub44
-6710990.491919277,6596722.88279636,-97.49999999999999,7010.69580078125,680.5768927971068,M2_sub44
-6710995.795220137,6596728.18609722,-90.0,7010.69580078125,680.5768927971068,M2_sub44
-6711001.098520995,6596733.489398078,-82.5,7010.69580078125,680.5768927971068,M2_sub44
-6711006.401821854,6596738.792698937,-75.0,7010.69580078125,680.5768927971068,M2_sub44
-6711011.705122713,6596744.095999796,-67.5,7010.69580078125,680.5768927971068,M2_sub44
-6711017.0084235715,6596749.399300654,-59.999999999999986,7010.69580078125,680.5768927971068,M2_sub44
-6711022.311724431,6596754.702601514,-52.5,7010.69580078125,680.5768927971068,M2_sub44
-6711027.615025289,6596760.005902372,-44.99999999999999,7010.69580078125,680.5768927971068,M2_sub44
-6711032.918326149,6596765.309203232,-37.5,7010.69580078125,680.5768927971068,M2_sub44
-6711038.221627007,6596770.61250409,-29.999999999999993,7010.69580078125,680.5768927971068,M2_sub44
-6711043.524927867,6596775.91580495,-22.499999999999986,7010.69580078125,680.5768927971068,M2_sub44
-6711048.828228725,6596781.219105808,-14.999999999999996,7010.69580078125,680.5768927971068,M2_sub44
-6711054.1315295845,6596786.5224066675,-7.49999999999999,6972.41845703125,680.5768927971068,M2_sub44
-6711059.434830443,6596791.825707526,0.0,6972.41845703125,680.5768927971068,M2_sub44
-6711064.7381313015,6596797.129008384,7.500000000000007,6972.41845703125,680.5768927971068,M2_sub44
-6711070.041432161,6596802.432309244,15.000000000000014,7018.52685546875,680.5768927971068,M2_sub44
-6711075.344733019,6596807.735610102,22.50000000000002,7018.52685546875,680.5768927971068,M2_sub44
-6711080.648033879,6596813.038910962,30.00000000000003,7018.52685546875,680.5768927971068,M2_sub44
-6711085.951334737,6596818.34221182,37.5,7018.52685546875,680.5768927971068,M2_sub44
-6711091.254635597,6596823.64551268,45.00000000000001,7018.52685546875,680.5768927971068,M2_sub44
-6711096.557936455,6596828.948813538,52.500000000000014,7018.52685546875,680.5768927971068,M2_sub44
-6711101.8612373145,6596834.2521143975,60.00000000000002,7018.52685546875,680.5768927971068,M2_sub44
-6711107.164538173,6596839.555415256,67.50000000000003,7018.52685546875,680.5768927971068,M2_sub44
-6711112.467839032,6596844.858716115,75.0,7018.52685546875,680.5768927971068,M2_sub44
-6711117.771139891,6596850.162016974,82.5,7018.52685546875,680.5768927971068,M2_sub44
-6711123.074440749,6596855.465317832,90.00000000000001,7018.52685546875,680.5768927971068,M2_sub44
-6711128.377741609,6596860.768618692,97.50000000000001,7018.52685546875,680.5768927971068,M2_sub44
-6711133.681042467,6596866.07191955,105.00000000000003,7018.52685546875,680.5768927971068,M2_sub44
-6711138.984343327,6596871.37522041,112.5,7018.52685546875,680.5768927971068,M2_sub44
-6711144.287644185,6596876.678521268,120.0,7018.52685546875,680.5768927971068,M2_sub44
-6711149.5909450445,6596881.9818221275,127.50000000000001,7018.52685546875,680.5768927971068,M2_sub44
-6711154.894245903,6596887.285122986,135.00000000000003,7018.52685546875,680.5768927971068,M2_sub44
-6711160.197546762,6596892.588423845,142.50000000000003,7018.52685546875,680.5768927971068,M2_sub44
-6711165.500847621,6596897.891724704,150.0,6988.1875,680.5768927971068,M2_sub44
-6710635.2602873305,6597358.835786109,-150.0,6850.89892578125,1361.1537855942136,M2_sub44
-6710642.7602873305,6597358.835786109,-142.5,6850.89892578125,1361.1537855942136,M2_sub44
-6710650.2602873305,6597358.835786109,-135.0,6850.89892578125,1361.1537855942136,M2_sub44
-6710657.7602873305,6597358.835786109,-127.5,6850.89892578125,1361.1537855942136,M2_sub44
-6710665.2602873305,6597358.835786109,-120.0,6850.89892578125,1361.1537855942136,M2_sub44
-6710672.7602873305,6597358.835786109,-112.5,6850.89892578125,1361.1537855942136,M2_sub44
-6710680.2602873305,6597358.835786109,-105.0,6850.89892578125,1361.1537855942136,M2_sub44
-6710687.7602873305,6597358.835786109,-97.49999999999999,6850.89892578125,1361.1537855942136,M2_sub44
-6710695.2602873305,6597358.835786109,-90.0,6850.89892578125,1361.1537855942136,M2_sub44
-6710702.7602873305,6597358.835786109,-82.5,6850.89892578125,1361.1537855942136,M2_sub44
-6710710.2602873305,6597358.835786109,-75.0,6850.89892578125,1361.1537855942136,M2_sub44
-6710717.7602873305,6597358.835786109,-67.5,6850.89892578125,1361.1537855942136,M2_sub44
-6710725.2602873305,6597358.835786109,-59.999999999999986,6850.89892578125,1361.1537855942136,M2_sub44
-6710732.7602873305,6597358.835786109,-52.5,6849.2265625,1361.1537855942136,M2_sub44
-6710740.2602873305,6597358.835786109,-44.99999999999999,6849.2265625,1361.1537855942136,M2_sub44
-6710747.7602873305,6597358.835786109,-37.5,6849.2265625,1361.1537855942136,M2_sub44
-6710755.2602873305,6597358.835786109,-29.999999999999993,6849.2265625,1361.1537855942136,M2_sub44
-6710762.7602873305,6597358.835786109,-22.499999999999986,6849.2265625,1361.1537855942136,M2_sub44
-6710770.2602873305,6597358.835786109,-14.999999999999996,6849.2265625,1361.1537855942136,M2_sub44
-6710777.7602873305,6597358.835786109,-7.49999999999999,6849.2265625,1361.1537855942136,M2_sub44
-6710785.2602873305,6597358.835786109,0.0,6849.2265625,1361.1537855942136,M2_sub44
-6710792.7602873305,6597358.835786109,7.500000000000007,6849.2265625,1361.1537855942136,M2_sub44
-6710800.2602873305,6597358.835786109,15.000000000000014,6849.2265625,1361.1537855942136,M2_sub44
-6710807.7602873305,6597358.835786109,22.50000000000002,6849.2265625,1361.1537855942136,M2_sub44
-6710815.2602873305,6597358.835786109,30.00000000000003,6849.2265625,1361.1537855942136,M2_sub44
-6710822.7602873305,6597358.835786109,37.5,6849.2265625,1361.1537855942136,M2_sub44
-6710830.2602873305,6597358.835786109,45.00000000000001,6849.2265625,1361.1537855942136,M2_sub44
-6710837.7602873305,6597358.835786109,52.500000000000014,6849.2265625,1361.1537855942136,M2_sub44
-6710845.2602873305,6597358.835786109,60.00000000000002,6852.52734375,1361.1537855942136,M2_sub44
-6710852.7602873305,6597358.835786109,67.50000000000003,6852.52734375,1361.1537855942136,M2_sub44
-6710860.2602873305,6597358.835786109,75.0,6852.52734375,1361.1537855942136,M2_sub44
-6710867.7602873305,6597358.835786109,82.5,6852.52734375,1361.1537855942136,M2_sub44
-6710875.2602873305,6597358.835786109,90.00000000000001,6852.52734375,1361.1537855942136,M2_sub44
-6710882.7602873305,6597358.835786109,97.50000000000001,6852.52734375,1361.1537855942136,M2_sub44
-6710890.2602873305,6597358.835786109,105.00000000000003,6852.52734375,1361.1537855942136,M2_sub44
-6710897.7602873305,6597358.835786109,112.5,6852.52734375,1361.1537855942136,M2_sub44
-6710905.2602873305,6597358.835786109,120.0,6852.52734375,1361.1537855942136,M2_sub44
-6710912.7602873305,6597358.835786109,127.50000000000001,6852.52734375,1361.1537855942136,M2_sub44
-6710920.2602873305,6597358.835786109,135.00000000000003,6852.52734375,1361.1537855942136,M2_sub44
-6710927.7602873305,6597358.835786109,142.50000000000003,6852.52734375,1361.1537855942136,M2_sub44
-6710935.2602873305,6597358.835786109,150.0,6852.52734375,1361.1537855942136,M2_sub44
-6710389.091573741,6597813.182190393,-150.0,6768.49609375,2041.7306783913205,M2_sub44
-6710394.3948746,6597818.485491252,-142.5,6787.81640625,2041.7306783913205,M2_sub44
-6710399.698175459,6597823.788792111,-135.0,6787.81640625,2041.7306783913205,M2_sub44
