x,y,distance_from_center_m,elevation_m,station_m,segment_id
-6705047.741664939,6588850.642481951,-150.0,7834.03515625,0.0,105
-6705053.044965797,6588855.9457828095,-142.5,7834.03515625,0.0,105
-6705058.3482666565,6588861.249083669,-135.0,7834.03515625,0.0,105
-6705063.651567515,6588866.552384527,-127.5,7834.03515625,0.0,105
-6705068.954868374,6588871.855685387,-120.0,7834.03515625,0.0,105
-6705074.258169233,6588877.158986245,-112.5,7834.03515625,0.0,105
-6705079.561470092,6588882.462287105,-105.0,7834.03515625,0.0,105
-6705084.864770951,6588887.765587963,-97.49999999999999,7834.03515625,0.0,105
-6705090.16807181,6588893.068888823,-90.0,7834.03515625,0.0,105
-6705095.471372669,6588898.372189681,-82.5,7834.03515625,0.0,105
-6705100.774673527,6588903.6754905395,-75.0,7825.97021484375,0.0,105
-6705106.0779743865,6588908.978791399,-67.5,7825.97021484375,0.0,105
-6705111.381275245,6588914.282092257,-59.999999999999986,7825.97021484375,0.0,105
-6705116.684576104,6588919.585393117,-52.5,7825.97021484375,0.0,105
-6705121.987876963,6588924.888693975,-44.99999999999999,7825.97021484375,0.0,105
-6705127.291177822,6588930.191994835,-37.5,7825.97021484375,0.0,105
-6705132.594478681,6588935.495295693,-29.999999999999993,7825.97021484375,0.0,105
-6705137.89777954,6588940.798596553,-22.499999999999986,7825.97021484375,0.0,105
-6705143.201080399,6588946.101897411,-14.999999999999996,7825.97021484375,0.0,105
-6705148.504381258,6588951.40519827,-7.49999999999999,7825.97021484375,0.0,105
-6705153.8076821165,6588956.708499129,0.0,7825.97021484375,0.0,105
-6705159.110982975,6588962.011799987,7.500000000000007,7825.97021484375,0.0,105
-6705164.414283834,6588967.315100847,15.000000000000014,7825.97021484375,0.0,105
-6705169.717584693,6588972.618401705,22.50000000000002,7825.97021484375,0.0,105
-6705175.020885552,6588977.921702565,30.00000000000003,7825.97021484375,0.0,105
-6705180.324186411,6588983.225003423,37.5,7825.97021484375,0.0,105
-6705185.62748727,6588988.528304283,45.00000000000001,7825.97021484375,0.0,105
-6705190.930788129,6588993.831605141,52.500000000000014,7825.97021484375,0.0,105
-6705196.234088988,6588999.134906,60.00000000000002,7825.97021484375,0.0,105
-6705201.5373898465,6589004.438206859,67.50000000000003,7825.97021484375,0.0,105
-6705206.840690706,6589009.741507718,75.0,7825.97021484375,0.0,105
-6705212.143991564,6589015.044808577,82.5,7836.150390625,0.0,105
-6705217.447292423,6589020.348109435,90.00000000000001,7836.150390625,0.0,105
-6705222.750593282,6589025.651410295,97.50000000000001,7836.150390625,0.0,105
-6705228.053894141,6589030.954711153,105.00000000000003,7836.150390625,0.0,105
-6705233.357195,6589036.258012013,112.5,7836.150390625,0.0,105
-6705238.660495859,6589041.561312871,120.0,7836.150390625,0.0,105
-6705243.963796718,6589046.86461373,127.50000000000001,7836.150390625,0.0,105
-6705249.2670975765,6589052.167914589,135.00000000000003,7836.150390625,0.0,105
-6705254.570398436,6589057.471215448,142.50000000000003,7836.150390625,0.0,105
-6705259.873699294,6589062.774516307,150.0,7836.150390625,0.0,105
-6704742.842794228,6589380.799456868,-150.0,7774.20458984375,656.4502223191348,105
-6704748.146095087,6589386.102757728,-142.5,7774.20458984375,656.4502223191348,105
-6704753.449395946,6589391.406058586,-135.0,7774.20458984375,656.4502223191348,105
-6704758.752696805,6589396.709359445,-127.5,7774.20458984375,656.4502223191348,105
-6704764.055997664,6589402.012660304,-120.0,7773.5439453125,656.4502223191348,105
-6704769.359298523,6589407.3159611635,-112.5,7773.5439453125,656.4502223191348,105
-6704774.662599382,6589412.619262022,-105.0,7773.5439453125,656.4502223191348,105
-6704779.9659002405,6589417.92256288,-97.49999999999999,7773.5439453125,656.4502223191348,105
-6704785.2692011,6589423.22586374,-90.0,7773.5439453125,656.4502223191348,105
-6704790.572501958,6589428.529164599,-82.5,7773.5439453125,656.4502223191348,105
-6704795.875802817,6589433.832465458,-75.0,7773.5439453125,656.4502223191348,105
-6704801.179103676,6589439.135766316,-67.5,7773.5439453125,656.4502223191348,105
-6704806.482404535,6589444.439067176,-59.999999999999986,7773.5439453125,656.4502223191348,105
-6704811.785705394,6589449.742368035,-52.5,7773.5439453125,656.4502223191348,105
-6704817.089006253,6589455.0456688935,-44.99999999999999,7773.5439453125,656.4502223191348,105
-6704822.392307112,6589460.348969752,-37.5,7773.5439453125,656.4502223191348,105
-6704827.6956079705,6589465.652270611,-29.999999999999993,7751.61767578125,656.4502223191348,105
-6704832.99890883,6589470.955571471,-22.499999999999986,7751.61767578125,656.4502223191348,105
-6704838.302209688,6589476.258872329,-14.999999999999996,7751.61767578125,656.4502223191348,105
