x,y,distance_from_center_m,elevation_m,station_m,segment_id
-6704709.854508625,6593693.691722436,-150.0,7516.2294921875,0.0,18
-6704715.157809484,6593698.995023294,-142.5,7516.2294921875,0.0,18
-6704720.461110343,6593704.298324154,-135.0,7516.2294921875,0.0,18
-6704725.764411202,6593709.601625012,-127.5,7516.2294921875,0.0,18
-6704731.067712061,6593714.904925872,-120.0,7516.2294921875,0.0,18
-6704736.37101292,6593720.20822673,-112.5,7516.2294921875,0.0,18
-6704741.674313779,6593725.5115275895,-105.0,7516.2294921875,0.0,18
-6704746.977614637,6593730.814828448,-97.49999999999999,7516.2294921875,0.0,18
-6704752.280915497,6593736.118129307,-90.0,7516.2294921875,0.0,18
-6704757.584216355,6593741.421430166,-82.5,7516.2294921875,0.0,18
-6704762.887517214,6593746.724731024,-75.0,7515.4892578125,0.0,18
-6704768.190818073,6593752.028031884,-67.5,7515.4892578125,0.0,18
-6704773.494118932,6593757.331332742,-59.999999999999986,7515.4892578125,0.0,18
-6704778.797419791,6593762.634633602,-52.5,7515.4892578125,0.0,18
-6704784.10072065,6593767.93793446,-44.99999999999999,7515.4892578125,0.0,18
-6704789.404021509,6593773.2412353195,-37.5,7515.4892578125,0.0,18
-6704794.7073223675,6593778.544536178,-29.999999999999993,7515.4892578125,0.0,18
-6704800.010623227,6593783.847837037,-22.499999999999986,7515.4892578125,0.0,18
-6704805.313924085,6593789.151137896,-14.999999999999996,7515.4892578125,0.0,18
-6704810.617224945,6593794.454438755,-7.49999999999999,7515.4892578125,0.0,18
-6704815.920525803,6593799.757739614,0.0,7515.4892578125,0.0,18
-6704821.223826662,6593805.061040472,7.500000000000007,7515.4892578125,0.0,18
-6704826.527127521,6593810.364341332,15.000000000000014,7515.4892578125,0.0,18
-6704831.83042838,6593815.66764219,22.50000000000002,7515.4892578125,0.0,18
-6704837.133729239,6593820.9709430495,30.00000000000003,7515.4892578125,0.0,18
-6704842.4370300975,6593826.274243908,37.5,7515.4892578125,0.0,18
-6704847.740330957,6593831.577544767,45.00000000000001,7515.4892578125,0.0,18
-6704853.043631815,6593836.880845626,52.500000000000014,7515.4892578125,0.0,18
-6704858.346932675,6593842.184146485,60.00000000000002,7515.4892578125,0.0,18
-6704863.650233533,6593847.487447344,67.50000000000003,7515.4892578125,0.0,18
-6704868.953534393,6593852.790748203,75.0,7515.4892578125,0.0,18
-6704874.256835251,6593858.094049062,82.5,7523.6552734375,0.0,18
-6704879.56013611,6593863.39734992,90.00000000000001,7523.6552734375,0.0,18
-6704884.863436969,6593868.7006507795,97.50000000000001,7523.6552734375,0.0,18
-6704890.1667378275,6593874.003951638,105.00000000000003,7523.6552734375,0.0,18
-6704895.470038687,6593879.307252497,112.5,7523.6552734375,0.0,18
-6704900.773339545,6593884.610553356,120.0,7523.6552734375,0.0,18
-6704906.076640405,6593889.913854215,127.50000000000001,7523.6552734375,0.0,18
-6704911.379941263,6593895.217155074,135.00000000000003,7523.6552734375,0.0,18
-6704916.683242123,6593900.520455933,142.50000000000003,7523.6552734375,0.0,18
-6704921.986542981,6593905.823756792,150.0,7523.6552734375,0.0,18
-6704553.291473699,6594308.796767263,-150.0,7497.56884765625,555.6915085479553,18
-6704560.791473699,6594308.796767263,-142.5,7497.56884765625,555.6915085479553,18
-6704568.291473699,6594308.796767263,-135.0,7497.56884765625,555.6915085479553,18
-6704575.791473699,6594308.796767263,-127.5,7497.56884765625,555.6915085479553,18
-6704583.291473699,6594308.796767263,-120.0,7497.56884765625,555.6915085479553,18
-6704590.791473699,6594308.796767263,-112.5,7497.56884765625,555.6915085479553,18
-6704598.291473699,6594308.796767263,-105.0,7497.56884765625,555.6915085479553,18
-6704605.791473699,6594308.796767263,-97.49999999999999,7497.56884765625,555.6915085479553,18
-6704613.291473699,6594308.796767263,-90.0,7497.56884765625,555.6915085479553,18
-6704620.791473699,6594308.796767263,-82.5,7497.56884765625,555.6915085479553,18
-6704628.291473699,6594308.796767263,-75.0,7497.56884765625,555.6915085479553,18
-6704635.791473699,6594308.796767263,-67.5,7497.56884765625,555.6915085479553,18
-6704643.291473699,6594308.796767263,-59.999999999999986,7497.56884765625,555.6915085479553,18
-6704650.791473699,6594308.796767263,-52.5,7490.2216796875,555.6915085479553,18
-6704658.291473699,6594308.796767263,-44.99999999999999,7490.2216796875,555.6915085479553,18
-6704665.791473699,6594308.796767263,-37.5,7490.2216796875,555.6915085479553,18
-6704673.291473699,6594308.796767263,-29.999999999999993,7490.2216796875,555.6915085479553,18
-6704680.791473699,6594308.796767263,-22.499999999999986,7490.2216796875,555.6915085479553,18
-6704688.291473699,6594308.796767263,-14.999999999999996,7490.2216796875,555.6915085479553,18
-6704695.791473699,6594308.796767263,-7.49999999999999,7490.2216796875,555.6915085479553,18
-6704703.291473699,6594308.796767263,0.0,7490.2216796875,555.6915085479553,18
-6704710.791473699,6594308.796767263,7.500000000000007,7490.2216796875,555.6915085479553,18
-6704718.291473699,6594308.796767263,15.000000000000014,7490.2216796875,555.6915085479553,18
-6704725.791473699,6594308.796767263,22.50000000000002,7490.2216796875,555.6915085479553,18
-6704733.291473699,6594308.796767263,30.00000000000003,7490.2216796875,555.6915085479553,18
-6704740.791473699,6594308.796767263,37.5,7490.2216796875,555.6915085479553,18
-6704748.291473699,6594308.796767263,45.00000000000001,7490.2216796875,555.6915085479553,18
-6704755.791473699,6594308.796767263,52.500000000000014,7490.2216796875,555.6915085479553,18
-6704763.291473699,6594308.796767263,60.00000000000002,7510.8662109375,555.6915085479553,18
-6704770.791473699,6594308.796767263,67.50000000000003,7510.8662109375,555.6915085479553,18
-6704778.291473699,6594308.796767263,75.0,7510.8662109375,555.6915085479553,18
-6704785.791473699,6594308.796767263,82.5,7510.8662109375,555.6915085479553,18
-6704793.291473699,6594308.796767263,90.00000000000001,7510.8662109375,555.6915085479553,18
-6704800.791473699,6594308.796767263,97.50000000000001,7510.8662109375,555.6915085479553,18
-6704808.291473699,6594308.796767263,105.00000000000003,7510.8662109375,555.6915085479553,18
-6704815.791473699,6594308.796767263,112.5,7510.8662109375,555.6915085479553,18
-6704823.291473699,6594308.796767263,120.0,7510.8662109375,555.6915085479553,18
-6704830.791473699,6594308.796767263,127.50000000000001,7510.8662109375,555.6915085479553,18
-6704838.291473699,6594308.796767263,135.00000000000003,7510.8662109375,555.6915085479553,18
-6704845.791473699,6594308.796767263,142.50000000000003,7510.8662109375,555.6915085479553,18
-6704853.291473699,6594308.796767263,150.0,7510.8662109375,555.6915085479553,18
-6704633.336740289,6594955.596509498,-150.0,7447.65966796875,1111.3830170959106,18
-6704638.640041147,6594950.293208639,-142.5,7447.65966796875,1111.3830170959106,18
-6704643.943342007,6594944.98990778,-135.0,7447.65966796875,1111.3830170959106,18
-6704649.246642865,6594939.686606921,-127.5,7439.9521484375,1111.3830170959106,18
-6704654.549943725,6594934.383306062,-120.0,7439.9521484375,1111.3830170959106,18
-6704659.853244583,6594929.080005203,-112.5,7439.9521484375,1111.3830170959106,18
-6704665.1565454425,6594923.776704344,-105.0,7439.9521484375,1111.3830170959106,18
-6704670.459846301,6594918.4734034855,-97.49999999999999,7439.9521484375,1111.3830170959106,18
-6704675.76314716,6594913.170102626,-90.0,7439.9521484375,1111.3830170959106,18
-6704681.066448019,6594907.866801768,-82.5,7439.9521484375,1111.3830170959106,18
-6704686.369748877,6594902.563500909,-75.0,7439.9521484375,1111.3830170959106,18
-6704691.673049737,6594897.26020005,-67.5,7439.9521484375,1111.3830170959106,18
-6704696.976350595,6594891.956899191,-59.999999999999986,7439.9521484375,1111.3830170959106,18
-6704702.279651455,6594886.653598332,-52.5,7439.9521484375,1111.3830170959106,18
-6704707.582952313,6594881.350297473,-44.99999999999999,7439.9521484375,1111.3830170959106,18
-6704712.8862531725,6594876.046996614,-37.5,7439.9521484375,1111.3830170959106,18
-6704718.189554031,6594870.7436957555,-29.999999999999993,7439.9521484375,1111.3830170959106,18
-6704723.49285489,6594865.440394896,-22.499999999999986,7453.0654296875,1111.3830170959106,18
-6704728.796155749,6594860.137094038,-14.999999999999996,7453.0654296875,1111.3830170959106,18
-6704734.099456608,6594854.833793178,-7.49999999999999,7453.0654296875,1111.3830170959106,18
-6704739.402757467,6594849.53049232,0.0,7453.0654296875,1111.3830170959106,18
-6704744.706058325,6594844.227191461,7.500000000000007,7453.0654296875,1111.3830170959106,18
-6704750.009359185,6594838.923890602,15.000000000000014,7453.0654296875,1111.3830170959106,18
-6704755.312660043,6594833.620589743,22.50000000000002,7453.0654296875,1111.3830170959106,18
-6704760.615960903,6594828.317288884,30.00000000000003,7453.56591796875,1111.3830170959106,18
-6704765.919261761,6594823.0139880255,37.5,7453.56591796875,1111.3830170959106,18
-6704771.22256262,6594817.710687166,45.00000000000001,7453.56591796875,1111.3830170959106,18
-6704776.525863479,6594812.407386308,52.500000000000014,7453.56591796875,1111.3830170959106,18
-6704781.829164338,6594807.104085448,60.00000000000002,7453.56591796875,1111.3830170959106,18
-6704787.132465197,6594801.80078459,67.50000000000003,7453.56591796875,1111.3830170959106,18
-6704792.435766056,6594796.49748373,75.0,7453.56591796875,1111.3830170959106,18
-6704797.739066915,6594791.194182872,82.5,7453.56591796875,1111.3830170959106,18
-6704803.042367773,6594785.890882013,90.00000000000001,7453.56591796875,1111.3830170959106,18
-6704808.345668633,6594780.587581154,97.50000000000001,7453.56591796875,1111.3830170959106,18
-6704813.648969491,6594775.2842802955,105.00000000000003,7453.56591796875,1111.3830170959106,18
-6704818.95227035,6594769.980979436,112.5,7453.56591796875,1111.3830170959106,18
-6704824.255571209,6594764.677678578,120.0,7453.56591796875,1111.3830170959106,18
-6704829.558872068,6594759.374377718,127.50000000000001,7453.56591796875,1111.3830170959106,18
-6704834.862172927,6594754.07107686,135.00000000000003,7468.27783203125,1111.3830170959106,18
-6704840.165473786,6594748.767776,142.50000000000003,7468.27783203125,1111.3830170959106,18
-6704845.468774645,6594743.464475142,150.0,7468.27783203125,1111.3830170959106,18
-6704665.920525803,6595373.52730346,-150.0,7352.62890625,1667.0745256438659,18
-6704673.420525803,6595373.52730346,-142.5,7352.62890625,1667.0745256438659,18
-6704680.920525803,6595373.52730346,-135.0,7352.62890625,1667.0745256438659,18
-6704688.420525803,6595373.52730346,-127.5,7352.62890625,1667.0745256438659,18
-6704695.920525803,6595373.52730346,-120.0,7352.62890625,1667.0745256438659,18
-6704703.420525803,6595373.52730346,-112.5,7352.62890625,1667.0745256438659,18
-6704710.920525803,6595373.52730346,-105.0,7352.62890625,1667.0745256438659,18
-6704718.420525803,6595373.52730346,-97.49999999999999,7352.62890625,1667.0745256438659,18
-6704725.920525803,6595373.52730346,-90.0,7352.62890625,1667.0745256438659,18
-6704733.420525803,6595373.52730346,-82.5,7352.62890625,1667.0745256438659,18
-6704740.920525803,6595373.52730346,-75.0,7352.62890625,1667.0745256438659,18
-6704748.420525803,6595373.52730346,-67.5,7352.62890625,1667.0745256438659,18
-6704755.920525803,6595373.52730346,-59.999999999999986,7352.62890625,1667.0745256438659,18
-6704763.420525803,6595373.52730346,-52.5,7328.7900390625,1667.0745256438659,18
-6704770.920525803,6595373.52730346,-44.99999999999999,7328.7900390625,1667.0745256438659,18
-6704778.420525803,6595373.52730346,-37.5,7328.7900390625,1667.0745256438659,18
-6704785.920525803,6595373.52730346,-29.999999999999993,7328.7900390625,1667.0745256438659,18
-6704793.420525803,6595373.52730346,-22.499999999999986,7328.7900390625,1667.0745256438659,18
-6704800.920525803,6595373.52730346,-14.999999999999996,7328.7900390625,1667.0745256438659,18
-6704808.420525803,6595373.52730346,-7.49999999999999,7328.7900390625,1667.0745256438659,18
-6704815.920525803,6595373.52730346,0.0,7328.7900390625,1667.0745256438659,18
-6704823.420525803,6595373.52730346,7.500000000000007,7328.7900390625,1667.0745256438659,18
-6704830.920525803,6595373.52730346,15.000000000000014,7328.7900390625,1667.0745256438659,18
-6704838.420525803,6595373.52730346,22.50000000000002,7328.7900390625,1667.0745256438659,18
-6704845.920525803,6595373.52730346,30.00000000000003,7328.7900390625,1667.0745256438659,18
-6704853.420525803,6595373.52730346,37.5,7328.7900390625,1667.0745256438659,18
-6704860.920525803,6595373.52730346,45.00000000000001,7328.7900390625,1667.0745256438659,18
