0,546.4296791984207
1,556.8982617286044
2,556.2050036522394
3,549.5770427200468
4,530.1665836471532
5,512.691139503637
6,497.73657186587104
7,494.7558043056582
8,500.7905415626672
9,511.4308979012754
10,527.1529771381728
11,550.9476163299703
12,592.5731839555576
13,658.3737378373938
14,746.4874190420128
15,856.1939093811607
16,990.6960295957565
17,1106.12608811079
18,1218.212047789717
19,1372.6478294532112
20,1554.2100310175756
21,1760.4895789369045
22,2004.6064549533107
23,2295.8236423502585
24,2575.6800840336386
25,2737.904722292776
26,2807.725347775989
27,2805.833862554491
28,2749.141100388804
29,2651.4110538646155
30,2523.7933270805297
31,2371.7393968155184
32,2192.144383153226
33,2006.8101651554239
34,1839.5087719283194
35,1688.4579462548277
36,1552.0518603186856
37,1428.843647764043
38,1317.5296652509323
39,1216.935312269435
40,1126.0022549295336
41,1043.7769147191905
42,969.400096986302
43,902.0976463006133
44,841.1720270243385
45,785.9947374866946
46,735.9994752273382
47,690.6759789454752
48,649.564480154113
49,612.2507041726353
50,578.3613660677979
51,547.5601125383763
52,519.5438655906593
53,494.0395282235414
54,470.80101628070975
55,449.6065841761773
56,430.25641539682147
57,412.5704515664071
58,396.3864364511727
59,381.558153625662
60,367.9538386245449
61,355.45474830461325
62,343.95387185161223
63,333.3547694076912
64,323.570525683794
65,314.52280717236556
66,306.14101270294157
67,298.36150809877614
68,291.1269366076956
69,284.38559760480234
70,278.09088680746436
71,272.20079191228695
72,266.67743816676455
73,261.4866789316082
74,256.59772677924786
75,251.98282111504915
76,247.61692870515643
77,243.47747385290143
78,239.54409528829802
79,235.7984271257837
80,232.22390150723425
81,228.80557078321598
82,225.5299472980167
83,222.38485903552754
84,219.35931955561466
85,216.44341080610067
86,213.6281775355628
87,210.90553215837156
88,208.26816903711418
89,205.70948725000738
90,203.22352100322072
91,200.80487693120753
92,198.4486776030809
93,196.15051062059342
94,193.90638275411465
95,191.71267861781283
96,189.56612343463252
97,187.4637494861555
98,185.40286588252272
99,183.3810313237155
100,181.3960295560391
101,179.44584725697405
102,177.52865410797935
103,175.64278483863546
104,173.78672304696167
105,171.95908662006474
106,170.15861459668702
107,168.38415532890713
108,166.63465581438058
109,164.90915208324066
110,163.20676053525332
111,161.52667013315724
112,159.86813536743296
113,158.23046991613748
114,156.61304093100063
115,155.01526388779192
116,153.43659794510427
117,151.8765417612306
118,150.33462972379198
119,148.81042855126498
